Anderlecht;117724
Brussel / Bruxelles;177112
Elsene / Ixelles;86336
Etterbeek;47410
Evere;41016
Ganshoren;24794
Jette;52144
Koekelberg;21765
Oudergem / Auderghem;33725
Schaarbeek / Schaerbeek;132097
Sint‐Agatha‐Berchem / Berchem‐Sainte‐Agathe;24831
Sint‐Gillis / Saint‐Gilles;49361
Sint‐Jans‐Molenbeek / Molenbeek‐Saint‐Jean;95455
Sint‐Joost‐ten‐Node / Saint‐Josse‐ten‐Noode;26813
Sint‐Lambrechts‐Woluwe / Woluwe‐Saint‐Lambert;56212
Sint‐Pieters‐Woluwe / Woluwe‐Saint‐Pierre;41513
Ukkel / Uccle;82038
Vorst / Forest;55694
Watermaal‐Bosvoorde / Watermael‐Boitsfort;25001
Aartselaar;14298
Antwerpen (Anvers);521680
Boechout;13114
Boom;17955
Borsbeek;10677
Brasschaat;37840
Brecht;28995
Edegem;21936
Essen;19060
Hemiksem;11352
Hove;8115
Kalmthout;18602
Kapellen;26731
Kontich;21064
Lint;8776
Malle;15292
Mortsel;25798
Niel;10424
Ranst;18979
Rumst;15101
Schelle;8435
Schilde;19578
Schoten;34448
Stabroek;18522
Wijnegem;9705
Wommelgem;12880
Wuustwezel;20663
Zandhoven;12981
Zoersel;21738
Zwijndrecht;18991
Berlaar;11506
Bonheiden;14954
Bornem;21178
Duffel;17374
Heist‐op‐den‐Berg;42466
Lier (Lierre);35667
Mechelen (Malines);86137
Nijlen;22799
Putte;17584
Puurs;17448
Sint‐Amands;8479
Sint‐Katelijne‐Waver;20863
Willebroek;26230
Arendonk;13274
Baarle‐Hertog (Baerle‐Duc);2697
Balen;22425
Beerse;17928
Dessel;9538
Geel;39895
Grobbendonk;11117
Herentals;28085
Herenthout;8951
Herselt;14531
Hoogstraten;21293
Hulshout;10376
Kasterlee;18576
Laakdal;16007
Lille;16499
Meerhout;10321
Merksplas;8602
Mol;36506
Olen;12482
Oud‐Turnhout;13505
Ravels;14855
Retie;11226
Rijkevorsel;11915
Turnhout;44035
Vorselaar;7841
Vosselaar;11165
Westerlo;24864
Affligem;13221
Asse;32940
Beersel;25035
Bever (Biévène);2205
Dilbeek;42467
Drogenbos;5590
Galmaarden (Gammerages);8729
Gooik;9230
Grimbergen;37318
Halle (Hal);39074
Herne;6642
Hoeilaart;11171
Kampenhout;11900
Kapelle‐op‐den‐Bos;9375
Kraainem;13673
Lennik;9021
Liedekerke;13181
Linkebeek;4753
Londerzeel;18614
Machelen;15398
Meise;19154
Merchtem;16295
Opwijk;14386
Overijse;25169
Pepingen;4374
Roosdaal;11622
